"9","На юге Волгограда женщина на Datsun сбила 8летнего мальчика на самокате Инцидент произошел в Красноа","На юге Волгограда женщина на Datsun сбила 8летнего мальчика на самокате Инцидент произошел в Красноармейском районе утром накануне2го августа в 1020 на проспекте Героев Сталинграда в Красноармейском районе 8летний ребенок угодил под колеса иномарки Как сообщает прессслужба региональной полиции 42летняя женщина за рулем автомобиля Datsun двигалась по проспекту в сторону заканальной части и на пересечении с Бульваром Энгельса совершила наезда на мальчика который пересекал проезжую часть на самокате близ нерегулируемого пешеходного перехода В итоге юный волгоградец получил множественные ушибы и с подозрением на сотрясение мозга был доставлен в больницу"
"2","Ремонт 39ой Гвардейской завершится в первых числах сентябряРемонт важной транспортной артерии провод","Ремонт 39ой Гвардейской завершится в первых числах сентябряРемонт важной транспортной артерии проводят впервые за 20 летУлица имени 39й Гвардейской дивизии в Краснооктябрьском районе не самая длинная но крайне важная транспортная артерия Она соединяет продольные там проходит множество маршрутов общественного транспорта да и проживает много людей  район населен густо  Подрядчик в настоящее время выполняет восстановление горловин колодцев и проводит реконструкцию подпорной стенки Стоит отметить что работы ведутся в дневное время и проезд транспорта может быть затруднен Автомобилистам же необходимо быть внимательными на сегодняшнем этапе восстановления улицы над уровнем проезжей части приподняты люки смотровых колодцев  39ую больше 20ти лет лишь подлатывали Зато теперь там будет полностью заменено дорожное покрытие отремонтированы подпорные стенки К тому же ремонтируют тротуары и возводят их там где их вообще никогда не было Учитывая темпы в первых числах сентября новая 39ая будет сдана в полную эксплуатацию"
"8","Пожарные тушат крупное возгорание на складе пиломатериалов в Красноармейском районе Огонь вспыхнул р","Пожарные тушат крупное возгорание на складе пиломатериалов в Красноармейском районе Огонь вспыхнул ранним утром 4го августаУтро для волгоградцев живущих в Красноармейском районе началось не с кофе а с ощутимого запаха гари Столб черного дыма поднялся высоко в небо от склада пиломатериалов на улице 40 лет ВЛКСМ  Как сообщили VolgaDayru в ГУ МЧС России по Волгоградской области сообщение о ЧП поступило в 602 Оказалось что на складе у остановки Овощебаза огнем охвачены пиломатериалы на открытой территории на площади около 250 квадратных метров Столб огня в несколько метров в высоту удалось усмирить в 736  в это время пожар был локализован теперь предстоит пролить каждый сантиметр дабы потушить возгорание Благо обошлось без пострадавших Причину ЧП предстоит выяснить специалистам"
"9","Двое мужчин и беременная пассажирка погибли в страшном лобовом ДТП под Волгоградом  ДТП произошло в ","Двое мужчин и беременная пассажирка погибли в страшном лобовом ДТП под Волгоградом  ДТП произошло в Жирновском районе Волгоградской области Сегодня 3 августа около 3 часов ночи на автодороге ЖирновскЛинево в Жирновском районе Волгоградской области произошло смертельное ДТП В лоб столкнулись ВАЗ2110 и Nissan От удара автомобили покорежило так что одна машина практически наполовину впечаталась в другую За рулем Nissan находился 50летний мужчина «Десяткой» управлял 35летний водитель а на пассажирском сиденье – 29летняя девушка По предварительным данным она была беременной Все скончались на месте происшествия @bloknot_volgograd  Кто из водителей нарушил правила движения и допустил выезд на «встречку» сейчас разбираются эксперты Информация о беременности погибшей также проверяется тело направлено в морг на вскрытие  сообщил «Блокноту Волгограда» источник в правоохранительных органах региона"
"8","Один из самых ядовитых пауков планеты активизировался в Волгоградской областиМаленькие твари уже пок","Один из самых ядовитых пауков планеты активизировался в Волгоградской областиМаленькие твари уже покусали кота девушки из Краснослободска и сына волгоградки из ДзержинскогоВ Волгоградской области что не лето то какаянибудь живность мерзкая активизируется В минувшие годы это были каракурты теперь настал черед еще одного вида пауков На этот раз стращать простых граждан и даже животных стал паук сак или как он называется понаучному  желтый хейракантиум  Жительница Краснослободска Ангелина Войцехович поделилась в сообществе Жесть Волгограда снимком убитого уродца На фото запечатлен самый настоящий сак Она рассказала что обнаружила непрошенного гостя в своем доме и от его клыков пострадал кот девушки Мяукающего удалось спасти хозяйка стремительно примчалась с ним в ветклинику где питомцу сделали необходимые уколы  В комментариях волгоградка Алена Леонова поделилась что такой же паук неделю назад укусил ее сына Нога у ребенка сразу опухла и сильно отекла   Вызвали скорую (приехала быстро) отвезли на Ангарский сделали два укола место укуса обработали целый день под налюдением (потом пять дней пили медикаменты) Слава Богу все обошлось  написала Алена  Отметим что сак хоть и маленький но весьма опасный Умереть от его клыков нельзя но на месте укуса мгновенно начинается отмирание тканей Кстати сак входит в десятку самых опасных и ядовитых пауков планеты В этом рейтинге он занимает 10ю позицию Каракурт к слову гордо располагается на четвертом Кстати желтый хейракантиум не так давно поселился в нашем регионе изза перемен в климате а он предпочитает чтобы было жарче жаркого"
"8","Волгоградское МЧС опровергло информацию о взрыве газа у педуниверситета Горожане уже стали пугать др","Волгоградское МЧС опровергло информацию о взрыве газа у педуниверситета Горожане уже стали пугать друг друга страшными байкамиУтром 3го августа в социальных сетях появилась информация что в центре Волгограда прогремел взрыв Находившие у ВГСПУ люди услышали громкий хлопок и приняли его за катастрофу  ЧП и правда было но вот взрыв  всего лишь домыслы Как уточнили VolgaDayru в ГУ МЧС России по Волгоградской области в 930 грейдер выполнявший работы по уборке территории учебного заведения повредил газовую трубу  Коммунальщики почти сразу перекрыли подачу голубого топлива и принялись исправлять произошедшее Эвакуация персонала ВУЗа не проводилась утечка была минимальной Разумеется в результате инцидента никто не пострадал и никакой угрозы населению нет"
"9","В Красноармейском пассажирская маршрутка врезалась в трубу теплотрассы ГАЗель на полном ходу протара","В Красноармейском пассажирская маршрутка врезалась в трубу теплотрассы ГАЗель на полном ходу протаранила объектУтром 3го августа в Красноармейском районе Волгограда произошло ДТП с участием пассажирской маршрутки Как сообщили VolgaDayru в ГУ МВД России по региону микроавтобус 47го маршрута въехал в коммунальный объект на улице Удмуртской рядом с остановкой клуб Антей около 900Водитель ГАЗели не справился с управлением съехал с дороги и допустил столкновение с теплотрассой В результате инцидента были госпитализированы два человека  у пассажиров микроавтобуса диганостировали переломы конечностей Также травму головы получил водитель По предварительным данным у маршрутки во время движения заклинило руль В настоящее время устанавливаются все обстоятельства произошедшего"
"8","Пропавшего подростка из Михайловки сняли с поезда в Саратовской области 13летний Марк Прокофьев ушел","Пропавшего подростка из Михайловки сняли с поезда в Саратовской области 13летний Марк Прокофьев ушел из дома 31го июля и бесследно исчез Подросток из Михайловки ушел из дома 31го июля Только вечером 2го августа его удалось разыскать Как и предполагали мальчик покинул пределы региона правда не так уж и далеко сумел добраться Его обнаружили в Саратовской области  В последнее время Марк часто интересовался у матери о родственниках по отцовской линии Папа мальчика скончался в минувшем году и ребенок решил отправиться к второй бабушке которая проживает в Пскове Однако нашли подростка в другой стороне  его сняли с поезда под Саратовом Выйти на след беглеца удалось после того как один из дальнобойщиков рассказал что видел похожего мальчишку на московской трассе  В настоящее время Марк вернулся домой Никаких противоправных действий в отношении него не совершали Отметим что до этого ребенок из дома не убегал и семья по месту жительства характеризуется положительно"
"8","Подросток из Москвы ехал в Волгоград на крыше поезда 17летний экстремал взобрался туда так как в ваг","Подросток из Москвы ехал в Волгоград на крыше поезда 17летний экстремал взобрался туда так как в вагоне было слишком жарко30го июля в Новоаннинском районе Волгоградской области произошел необычный инцидент На станции Филоново машинист встречного состава заметил человека на крыше пассажирского поезда следовавшего из Москвы в областной центр Разумеется он тут же передал информацию куда следует и поезд остановили  Как сообщили VolgaDayru в ЛУ МВД России на транспорте на крыше оказался 17летний житель столицы Московский подросток объяснил что ехал на вагоне а не внутри так как там стало слишком душно Установлено что мальчик увлекается экстремальными развлечениями в числе которых и зацепинг А билет выпускнику 11го класса приобрела мать она отправила сына на отдых к родственникам в Волгоград надеясь что вдали от друзей он не станет рисковать  В настоящее время сотрудники линейного управления устанавливают истинные мотивы поведения несовершеннолетнего Возбуждено административное дело за нарушение правил поведения на железнодорожном транспорте"
"8","В Волжском школьница упала с крыши высотки во время праздничного селфи 16летняя девочка сорвалась с ","В Волжском школьница упала с крыши высотки во время праздничного селфи 16летняя девочка сорвалась с крыши 9этажного дома Вечером 30го июля в городе Волжском произошел трагический случай  с крыши высотки упала подросток Как сообщил VolgaDayru собственный источник в следственных органах бездыханное тело девочки обнаружили около 1830 возле общежития по улице Машиностроителей Прибывшие медики лишь развели руками  падение с такой высоты не оставляет шансов  девочка скончалась на месте  Оказалось что в тот день у погибшей был день рождения  ей исполнилось 16 лет Для того чтобы сообщить об этом миру девочка забралась на крышу общежития чтобы сделать зрелищное праздничное селфи Но во время фотосессии она сорвалась вниз Несколько снимков сохранились на ее смартфоне который остался на крыше  По данному факту проводится проверка однако криминальной составляющей в произошедшем нет как и намеков на суицид Это просто трагическое стечение обстоятельств"
"9","На Хользунова волгоградка угодила под колеса КамАЗа Женщина скончалась на месте Утром 2го августа в ","На Хользунова волгоградка угодила под колеса КамАЗа Женщина скончалась на месте Утром 2го августа в Краснооктябрьском районе Волгограда произошел смертельный наезд на пешехода Как рассказал VolgaDayru официальный представитель ГУ МВД России по региону Антон Корнаухов около 1000 на Второй Продольной женщина угодила под колеса КамАЗа Увы от полученных травм несчастная скончалась на месте Личность погибшей еще не установлена на вид ей 40 лет  По предварительным данным женщина вышла из маршрутки и решила перебежать дорогу по зебре перед ГАЗелью Получилось так что она внезапно возникла прямо перед КамАЗом который завершал маневр выезда с улицы Хользунова на Маршала Еременко Несмотря на то что скорость спецтехники была невысокой пешеход получила фатальные травмы По данному факту проводится проверка  Фото ГУ МВД России по Волгоградской области Мария Тюрморезова"
